"index_code","index_desc","wind_code","date","open","high","low","close","volume","amt","chg","pct_chg","update_time"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20221212",,,,"836.55",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20221219",,,,"830.58",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20221226",,,,"822.18",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230102",,,,"821.67",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230109",,,,"821.55",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230116",,,,"797.56",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230123",,,,"797.72",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230130",,,,"786.68",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230206",,,,"779.44",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230213",,,,"767.93",,,,,"20/3/2025 09:53:34.620718+08"
